gene	disease	disease_code	nsnp	PP_H0	PP_H1	PP_H2	PP_H3	PP_H4
PDLIM7	Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	I9_DISVEINLYMPH	4983	2.2000468612982036e-30	0.0069805408003524114	3.303634276890352e-30	0.009498598527306527	0.9835208606723478
SWAP70	Autoimmune diseases	AUTOIMMUNE	5601	3.3896413623277157e-261	0.00017499347278365456	3.3494834623231326e-259	0.016308511789363187	0.9835164947378321
IL10	Long labour	O15_LABOUR_LONG	3083	6.14528301625809e-93	0.013110176666290925	2.0745170411323408e-93	0.00344226967279088	0.9834475536609092
PLAU	Abdominal aortic aneurysm (AAA)	I9_ABAORTANEUR	3997	1.2563522950478604e-163	0.003934980002058292	4.35985041757801e-163	0.012671952071138602	0.9833930679268041
PROC	Other hammer toe(s) (acquired)	M13_HAMMERTOE	6033	9.372387558003626e-91	0.0024624469932788273	5.841720232851495e-90	0.014365025927088132	0.9831725270796272
ERBB3	Asthma/COPD (KELA code 203)	J10_ASTHMACOPDKELA	3989	2.0384857372717443e-92	1.139284975622016e-05	3.217870467882123e-89	0.01700130078810576	0.9829873063621447
TNFRSF1B	Allergic rhinitis	ALLERG_RHINITIS	5049	1.5059163418692629e-72	0.0008234877515477996	3.248644663850872e-71	0.016782331624074363	0.9823941806243698
CTLA4	Graves ophthalmopathy, strict	E4_GRAVES_OPHT_STRICT	4428	1.0569189643581082e-67	0.00044041681314132744	4.408305757469873e-66	0.0173871826638597	0.9821724005230066
ERBB3	Basal cell carcinoma, including avohilmo, excluding all cancers (controls excluding all cancers)	C3_BASAL_CELL_CARCINOMA_INCLAVO_EXALLC	3989	1.3212392434565546e-89	0.007384975236797331	2.1101176368411792e-89	0.010812553904776763	0.9818024708584375
ACE	Other heart diseases	FG_OTHHEART	3675	1.260245180613856e-13	0.010166687973756378	1.1411418837773776e-13	0.008224245194398742	0.9816090668316039
LTBR	Suppurative and unspecified otitis media	H8_MED_SUPP	5373	9.360589097041262e-201	0.0022692350280405786	7.104870925608295e-200	0.01624245112731074	0.9814883138446567
CTLA4	Graves ophthalmopathy	GRAVES_OPHT	4428	1.833061872868418e-68	7.638345643971268e-05	4.66375800335737e-66	0.01845234935651925	0.9814712671870277
TGFA	Diseases of the digestive system	K11_OTHDIG	5714	3.081053502573479e-95	0.0014943758737544313	3.74955727775351e-94	0.0172048421345623	0.9813007819916788
CFH	Age-related macular degeneration (whether dry or wet)	H7_AMD	4143	0.0	0.0	6.076893703954804e-33	0.01872911033801183	0.9812708896620403
PSRC1	Congenital obstructive defects of renal pelvis and congenital malformations of ureter	Q17_CONGEN_OBSTRUCTIVE_DEFECTS_RENAL_PELVIS_CONGEN_MALFO_URETER	4665	0.0	0.007466405168685202	0.0	0.0116816289544863	0.980851965876777
TNFRSF13C	All pneumoniae	J10_PNEUMONIA	4786	1.7699573698331475e-65	0.01271412020471084	1.0419387230636632e-65	0.006503767740251702	0.980782112055043
FES	Gestational [pregnancy-induced] hypertension	O15_GESTAT_HYPERT	5936	0.0	6.056837664386283e-05	0.0	0.019213082332290157	0.9807263492911611
HAVCR1	Ulcerative colitis (strict definition, require KELA, min 2 HDR)	K11_UC_STRICT2	6291	1.860154255612169e-24	0.002015673167560951	1.7145629842702025e-23	0.017598711204217625	0.9803856156282181
SWAP70	Autoimmune diseases excluding thyroid diseases	AUTOIMMUNE_NONTHYROID	5601	5.192604852716378e-260	0.0026807691834882146	3.5269441050023976e-259	0.01722834849782943	0.9800908823186387
IL2RA	Allergic contact dermatitis	L12_ALLERGICCONTACT	8103	6.474432887223167e-51	0.005322167478613435	1.905529598709276e-50	0.014683999966499902	0.9799938325548864
CTLA4	Vitamin B12 deficiency anaemia	D3_ANAEMIA_B12_DEF	4428	1.3654994472110766e-69	5.690014632028625e-06	5.076444384295216e-66	0.02017364291309517	0.9798206670722741
CD70	Asthma (more control exclusions)	J10_ASTHMA_EXMORE	6836	5.484841835112146e-29	0.008896626828831258	7.591621081473316e-29	0.011334135487040925	0.9797692376841342
SLC12A2	Female genital prolapse	N14_FEMGENPROL	5516	1.6371743145895086e-84	9.007962141725387e-06	3.8558072759539007e-81	0.020235435555461492	0.9797555564824009
