gene_symbol	phenocode	disease	uk_id	fin_OR	fin_FDR	uk_OR	uk_p	fin_dir	uk_dir	concordant	uk_replicates	two_population_validated
IL6ST	M13_POLYARTHROPATHIES	Polyarthropathies	ukb-d-M13_POLYARTHROPATHIES	1.7476171009027797	6.63851948591804e-11	1.0043922212720426	0.02587275625994854	+	+	True	True	True
CTLA4	M13_POLYARTHROPATHIES	Polyarthropathies	ukb-d-M13_POLYARTHROPATHIES	0.7096317913191091	9.86341842894295e-07	0.9976892095843524	0.12293160071634102	-	-	True	False	False
CA8	M13_POLYARTHROPATHIES	Polyarthropathies	ukb-d-M13_POLYARTHROPATHIES	0.8117694292136052	0.0009552120077878	0.9983216425675403	0.17464269934066962	-	-	True	False	False
PSRC1	I9_IHD	Ischaemic heart disease, wide definition	ukb-d-I9_IHD	0.8555309876379927	2.3322609932015485e-19	0.9870776400909957	1.4748378549856947e-22	-	-	True	True	True
FES	I9_IHD	Ischaemic heart disease, wide definition	ukb-d-I9_IHD	0.909080012154113	8.452536115913447e-05	0.9897703725942932	2.481537690621492e-13	-	-	True	True	True
PLAUR	I9_IHD	Ischaemic heart disease, wide definition	ukb-d-I9_IHD	1.4345602822531534	0.0002043323938804	1.017895500421324	0.0026549405404397448	+	+	True	True	True
SORT1	I9_IHD	Ischaemic heart disease, wide definition	ukb-d-I9_IHD	0.6869391703423435	0.0016872784152532	0.976865017719937	0.00038361452703198083	-	-	True	True	True
LPL	I9_IHD	Ischaemic heart disease, wide definition	ukb-d-I9_IHD	0.936283187908848	0.0059056948521173	0.9952987792971949	3.325759700011036e-06	-	-	True	True	True
CDKN1A	I9_IHD	Ischaemic heart disease, wide definition	ukb-d-I9_IHD	1.1650943340111533	0.0195008098321893	1.0061351359012103	0.028355796025421466	+	+	True	True	True
TGFB2	M13_HALLUXVALGUS	Hallux valgus (acquired)	ukb-d-M13_HALLUXVALGUS	2.6973509048062287	0.0018816064793028	1.010275596810787	0.0680318104828257	+	+	True	False	False
MAP1LC3A	M13_HALLUXVALGUS	Hallux valgus (acquired)	ukb-d-M13_HALLUXVALGUS	0.8944576354860955	0.0244638667253075	0.9987515919749741	0.021446350322615992	-	-	True	True	True
CA8	M13_HALLUXVALGUS	Hallux valgus (acquired)	ukb-d-M13_HALLUXVALGUS	0.7730495450089695	0.0371925727443268	1.0015584004888658	0.3219490324212543	-	+	False	False	False
TSPAN15	I9_VTE	Venous thromboembolism	ukb-d-I9_VTE	0.7318646631299554	4.331175869016915e-07	0.9934372973952109	2.3269741943158364e-07	-	-	True	True	True
PDLIM7	I9_VTE	Venous thromboembolism	ukb-d-I9_VTE	0.7184121014283523	0.0381407557588447	0.9967341819672523	0.15034634753052536	-	-	True	False	False
