gene_symbol	phenocode	disease	uk_id	uk_trait	match_method	uk_ncase	fin_OR	fin_FDR	uk_OR	uk_p	fin_dir	uk_dir	concordant	uk_replicates	two_population_validated
NGFR	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	Hypertension	exact-code	1237	0.6333947538585684	0.0001016088028641	1.002420876607875	0.2745366007214469	-	+	False	False	False
JMJD1C	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	Hypertension	exact-code	1237	1.6671465461882875	0.000502065711949	0.9979266720120142	0.43138710243827916	+	-	False	False	False
MAPRE3	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	Hypertension	exact-code	1237	0.8382669413697186	0.0005451156335936	0.9986302167984479	0.12489998694078336	-	-	True	False	False
ANXA2	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	Hypertension	exact-code	1237	1.1095830136652372	0.0024185398060151	1.000517019985363	0.34213607153352843	+	+	True	False	False
CLINT1	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	Hypertension	exact-code	1237	1.4368403263327851	0.0071983064086892	1.0003552302686434	0.8674100338217251	+	+	True	False	False
MAPT	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	Hypertension	exact-code	1237	1.5741270163303778	0.0084364124951316	0.9977170412275768	0.43832686664826465	+	-	False	False	False
SLC16A1	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	Hypertension	exact-code	1237	0.8276151343209475	0.0087770309363827	0.9998873988879651	0.9189107411246439	-	-	True	False	False
MYL4	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	Hypertension	exact-code	1237	1.6566342513940038	0.0088542867957432	0.9965588717191334	0.3002850709331442	+	-	False	False	False
PFKFB2	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	Hypertension	exact-code	1237	0.7249380606905292	0.0130302153620398	0.9992537320628792	0.6988990115107584	-	-	True	False	False
ADM	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	Hypertension	exact-code	1237	1.0699589450331417	0.0140330910231028	0.9998466531427724	0.7082908933835281	+	-	False	False	False
PIK3IP1	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	Hypertension	exact-code	1237	1.0484890304176304	0.028352760067329	0.9998699333308355	0.6713349248593394	+	-	False	False	False
IL1RN	I9_HYPTENS	Hypertension	ukb-d-I9_HYPTENS	Hypertension	exact-code	1237	0.8305428779673497	0.0435337608524896	1.0001803391570985	0.9020284859698561	-	+	False	False	False
PSRC1	I9_CORATHER	Coronary atherosclerosis	ukb-d-I9_CORATHER	Coronary atherosclerosis	exact-code	14334	0.8271831854130581	9.227066656692128e-23	0.9892959186999888	5.747045732153104e-22	-	-	True	True	True
FES	I9_CORATHER	Coronary atherosclerosis	ukb-d-I9_CORATHER	Coronary atherosclerosis	exact-code	14334	0.8893360577062895	5.175969257873033e-06	0.9933317836863175	1.389270588862108e-08	-	-	True	True	True
SORT1	I9_CORATHER	Coronary atherosclerosis	ukb-d-I9_CORATHER	Coronary atherosclerosis	exact-code	14334	0.6571327078647082	0.0020125461957679	0.9852217847036612	0.0071162482321000245	-	-	True	True	True
SCARB1	I9_CORATHER	Coronary atherosclerosis	ukb-d-I9_CORATHER	Coronary atherosclerosis	exact-code	14334	0.8975879515659257	0.0034683955010659	0.996543267243814	0.015685814890337893	-	-	True	True	True
CDKN1A	I9_CORATHER	Coronary atherosclerosis	ukb-d-I9_CORATHER	Coronary atherosclerosis	exact-code	14334	1.2081661308661045	0.0037354379339553	1.0038169954552913	0.10373160361535708	+	+	True	False	False
PLAUR	I9_CORATHER	Coronary atherosclerosis	ukb-d-I9_CORATHER	Coronary atherosclerosis	exact-code	14334	1.4336001789743753	0.0039758870475332	1.0136865354279192	0.006068486831262447	+	+	True	True	True
LPL	I9_CORATHER	Coronary atherosclerosis	ukb-d-I9_CORATHER	Coronary atherosclerosis	exact-code	14334	0.927942210071436	0.0051921613478377	0.9972475610391571	0.001192777445981906	-	-	True	True	True
LRP1	I9_CORATHER	Coronary atherosclerosis	ukb-d-I9_CORATHER	Coronary atherosclerosis	exact-code	14334	0.5483081326804462	0.0080584086412413	0.978670061108481	0.018669533871262058	-	-	True	True	True
PIK3IP1	I9_CORATHER	Coronary atherosclerosis	ukb-d-I9_CORATHER	Coronary atherosclerosis	exact-code	14334	1.0691167335367644	0.0189798143538556	1.000466715792137	0.642436928329086	+	+	True	False	False
C2	M13_POLYARTHROPATHIES	Polyarthropathies	ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	exact-code	3275	2.07559879429806	5.6452922516472e-22	1.0042446117134145	0.0037485334176026214	+	+	True	True	True
IL6ST	M13_POLYARTHROPATHIES	Polyarthropathies	ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	exact-code	3275	1.7476171009027797	6.63851948591804e-11	1.0043922212720426	0.02587275625994854	+	+	True	True	True
CTLA4	M13_POLYARTHROPATHIES	Polyarthropathies	ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	exact-code	3275	0.7096317913191091	9.86341842894295e-07	0.9976892095843524	0.12293160071634102	-	-	True	False	False
CA8	M13_POLYARTHROPATHIES	Polyarthropathies	ukb-d-M13_POLYARTHROPATHIES	#Polyarthropathies	exact-code	3275	0.8117694292136052	0.0009552120077878	0.9983216425675403	0.17464269934066962	-	-	True	False	False
PSRC1	I9_IHD	Ischaemic heart disease, wide definition	ukb-d-I9_IHD	Ischaemic heart disease, wide definition	exact-code	20857	0.8555309876379927	2.3322609932015485e-19	0.9870776400909957	1.4748378549856947e-22	-	-	True	True	True
FES	I9_IHD	Ischaemic heart disease, wide definition	ukb-d-I9_IHD	Ischaemic heart disease, wide definition	exact-code	20857	0.909080012154113	8.452536115913447e-05	0.9897703725942932	2.481537690621492e-13	-	-	True	True	True
PLAUR	I9_IHD	Ischaemic heart disease, wide definition	ukb-d-I9_IHD	Ischaemic heart disease, wide definition	exact-code	20857	1.4345602822531534	0.0002043323938804	1.017895500421324	0.0026549405404397448	+	+	True	True	True
SORT1	I9_IHD	Ischaemic heart disease, wide definition	ukb-d-I9_IHD	Ischaemic heart disease, wide definition	exact-code	20857	0.6869391703423435	0.0016872784152532	0.976865017719937	0.00038361452703198083	-	-	True	True	True
LPL	I9_IHD	Ischaemic heart disease, wide definition	ukb-d-I9_IHD	Ischaemic heart disease, wide definition	exact-code	20857	0.936283187908848	0.0059056948521173	0.9952987792971949	3.325759700011036e-06	-	-	True	True	True
CDKN1A	I9_IHD	Ischaemic heart disease, wide definition	ukb-d-I9_IHD	Ischaemic heart disease, wide definition	exact-code	20857	1.1650943340111533	0.0195008098321893	1.0061351359012103	0.028355796025421466	+	+	True	True	True
IL18RAP	J10_ASTHMA_EXMORE	Asthma (more control exclusions)	ukb-b-18113	Non-cancer illness code, self-reported: asthma	name-match	53598	0.9224218492536304	1.1662172385748545e-17	0.9899019442131409	1.9528591529016438e-33	-	-	True	True	True
ERBB2	J10_ASTHMA_EXMORE	Asthma (more control exclusions)	ukb-b-18113	Non-cancer illness code, self-reported: asthma	name-match	53598	2.4485050010611644	7.465016925513295e-15	1.1306446843383378	1.417492417109796e-33	+	+	True	True	True
