olink_id	gene_symbol	protein_name	immune_class	immune_score	cytokine	chemokine	interferon_axis	TNF_axis	complement	coagulation	checkpoint	CD_marker	acute_phase	HLA_antigen	immunoglobulin	soluble_receptor	immune_cell_enriched	immune_source_cells	secreted_to_blood	msigdb_c7_immune_gene	rna_blood_cell_specificity	hpa_disease	hpa_protein_class
590	CLEC4G	C-type lectin domain family 4 member G	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	0	1	Immune cell enhanced		Predicted intracellular proteins, Predicted membrane proteins
592	CLEC5A	C-type lectin domain family 5 member A	Immune-cell-enriched	3	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte	0	1	Immune cell enriched		Predicted intracellular proteins, Predicted membrane proteins
593	CLEC6A	C-type lectin domain family 6 member A	Immune-cell-enriched	3	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	0	1	Group enriched		Predicted membrane proteins
594	CLEC7A	C-type lectin domain family 7 member A	Immune-cell-enriched	3	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enhanced		CD markers, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins
596	CLIC5	Chloride intracellular channel protein 5	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	T-cell	0	1	Immune cell enhanced	Deafness, Non-syndromic deafness	Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters
597	CLINT1	Clathrin interactor 1	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enriched		Plasma proteins, Predicted intracellular proteins, Transporters
606	CLSTN3	Calsyntenin-3	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	NK-cell	0	1	Immune cell enhanced		Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins
608	CLU	Clusterin	Immune-cell-enriched	3	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	1	1	Immune cell enriched	Cancer-related genes	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins
610	CMC1	COX assembly mitochondrial protein homolog	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	NK-cell	0	1	Immune cell enhanced		Predicted intracellular proteins
611	CMIP	C-Maf-inducing protein	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enhanced		Predicted intracellular proteins
614	CNP	2',3'-cyclic-nucleotide 3'-phosphodiesterase	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	0	1	Immune cell enhanced	Leukodystrophy, Neurodegeneration	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins
619	CNTN1	Contactin-1	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Immune cell enhanced		Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins
624	CNTNAP2	Contactin-associated protein-like 2	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	B-cell	0	1	Immune cell enhanced	Autism, Autism spectrum disorder, Epilepsy, Intellectual disability	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins
626	COCH	Cochlin	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	B-cell	1	1	Group enriched	Deafness, Disease variant, Non-syndromic deafness	Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins, Transporters
628	COL18A1	Collagen alpha-1(XVIII) chain	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	1	1	Immune cell enhanced	Cancer-related genes, Glaucoma	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins
630	COL24A1	Collagen alpha-1(XXIV) chain	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Dendritic	1	1	Immune cell enriched		Predicted secreted proteins
635	COL4A4	Collagen alpha-4(IV) chain	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	B-cell	1	1	Immune cell enhanced	Alport syndrome, Cancer-related genes, Deafness, Disease variant	Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins
639	COL9A2	Collagen alpha-2(IX) chain	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Myeloid/Monocyte;Granulocyte;Dendritic	1	1	Group enriched	Deafness, Disease variant, Dwarfism, Stickler syndrome	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins
647	COQ7	5-demethoxyubiquinone hydroxylase, mitochondrial	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	0	1	Group enriched	Disease variant, Neurodegeneration, Neuropathy, Primary mitochondrial disease	Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins
655	CPB1	Carboxypeptidase B	Immune-cell-enriched	2	0	0	0	0	0	0	0	0	0	0	0	0	1	Granulocyte	1	1	Immune cell enhanced		Enzymes, Plasma proteins, Predicted secreted proteins
